# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 0)               |  __probe_kernel_read() {
 0)   1.161 us    |          _raw_spin_unlock_irqrestore();
 0)   8.358 us    |        }
 0)               |        bus_for_each_drv() {
 0)   1.216 us    |          _raw_spin_lock_irqsave();
 0)   1.175 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   4.885 us    |              of_match_device();
 0)   7.413 us    |            }
 0)   9.812 us    |          }
 0)   1.178 us    |          _raw_spin_lock_irqsave();
 0)   1.177 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   6.278 us    |              of_match_device();
 0)   8.728 us    |            }
 0) + 11.182 us   |          }
 0)   1.192 us    |          _raw_spin_lock_irqsave();
 0)   1.184 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   1.163 us    |              of_match_device();
 0)   3.540 us    |            }
 0)   5.991 us    |          }
 0)   1.249 us    |          _raw_spin_lock_irqsave();
 0)   1.202 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   4.515 us    |              of_match_device();
 0)   7.013 us    |            }
 0)   9.302 us    |          }
 0)   1.197 us    |          _raw_spin_lock_irqsave();
 0)   1.177 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   4.618 us    |              of_match_device();
 0)   7.009 us    |            }
 0)   9.303 us    |          }
 0)   1.188 us    |          _raw_spin_lock_irqsave();
 0)   1.177 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   4.510 us    |              of_match_device();
 0)   7.050 us    |            }
 0)   9.393 us    |          }
 0)   1.200 us    |          _raw_spin_lock_irqsave();
 0)   1.205 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   4.483 us    |              of_match_device();
 0)   6.908 us    |            }
 0)   9.265 us    |          }
 0)   1.197 us    |          _raw_spin_lock_irqsave();
 0)   1.177 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   7.916 us    |              of_match_device();
 0) + 10.379 us   |            }
 0) + 12.808 us   |          }
 0)   1.196 us    |          _raw_spin_lock_irqsave();
 0)   1.179 us    |          _raw_spin_unlock_irqrestore();
 0) ! 131.413 us  |        }
 0)               |        __pm_runtime_idle() {
 0)   1.196 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.335 us    |            rpm_check_suspend_allowed();
 0)   5.021 us    |          }
 0)   1.197 us    |          _raw_spin_unlock_irqrestore();
 0) + 12.044 us   |        }
 0)               |        __pm_runtime_idle() {
 0)   1.182 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.198 us    |            rpm_check_suspend_allowed();
 0)   3.470 us    |          }
 0)   1.178 us    |          _raw_spin_unlock_irqrestore();
 0) + 10.556 us   |        }
 0)   1.167 us    |        mutex_unlock();
 0) ! 173.590 us  |      }
 0) ! 176.118 us  |    }
 0)   1.175 us    |    mutex_lock();
 0)   1.204 us    |    mutex_unlock();
 0) ! 184.631 us  |  }
 0)               |  bus_probe_device() {
 0)               |    device_initial_probe() {
 0)               |      __device_attach() {
 0)   1.220 us    |        mutex_lock();
 0)               |        __pm_runtime_resume() {
 0)   1.221 us    |          _raw_spin_lock_irqsave();
 0)   1.327 us    |          rpm_resume();
 0)   1.178 us    |          _raw_spin_unlock_irqrestore();
 0)   8.310 us    |        }
 0)               |        bus_for_each_drv() {
 0)   1.181 us    |          _raw_spin_lock_irqsave();
 0)   1.175 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   5.342 us    |              of_match_device();
 0)   7.822 us    |            }
 0) + 10.225 us   |          }
 0)   1.325 us    |          _raw_spin_lock_irqsave();
 0)   1.178 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   6.515 us    |              of_match_device();
 0)   8.960 us    |            }
 0) + 11.317 us   |          }
 0)   1.201 us    |          _raw_spin_lock_irqsave();
 0)   1.185 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   1.159 us    |              of_match_device();
 0)   3.565 us    |            }
 0)   5.903 us    |          }
 0)   1.197 us    |          _raw_spin_lock_irqsave();
 0)   1.180 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   4.834 us    |              of_match_device();
 0)   7.232 us    |            }
 0)   9.595 us    |          }
 0)   1.183 us    |          _raw_spin_lock_irqsave();
 0)   1.306 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   4.825 us    |              of_match_device();
 0)   7.216 us    |            }
 0)   9.587 us    |          }
 0)   1.234 us    |          _raw_spin_lock_irqsave();
 0)   1.178 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   4.825 us    |              of_match_device();
 0)   7.294 us    |            }
 0)   9.610 us    |          }
 0)   1.197 us    |          _raw_spin_lock_irqsave();
 0)   1.179 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   4.826 us    |              of_match_device();
 0)   7.232 us    |            }
 0)   9.578 us    |          }
 0)   1.199 us    |          _raw_spin_lock_irqsave();
 0)   1.177 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   8.724 us    |              of_match_device();
 0) + 11.157 us   |            }
 0) + 13.657 us   |          }
 0)   1.246 us    |          _raw_spin_lock_irqsave();
 0)   1.227 us    |          _raw_spin_unlock_irqrestore();
 0) ! 133.906 us  |        }
 0)               |        __pm_runtime_idle() {
 0)   1.175 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.322 us    |            rpm_check_suspend_allowed();
 0)   3.900 us    |          }
 0)   1.180 us    |          _raw_spin_unlock_irqrestore();
 0) + 10.848 us   |        }
 0)               |        __pm_runtime_idle() {
 0)   1.161 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.223 us    |            rpm_check_suspend_allowed();
 0)   3.578 us    |          }
 0)   1.181 us    |          _raw_spin_unlock_irqrestore();
 0) + 12.110 us   |        }
 0)   1.190 us    |        mutex_unlock();
 0) ! 176.145 us  |      }
 0) ! 178.668 us  |    }
 0)   1.200 us    |    mutex_lock();
 0)   1.200 us    |    mutex_unlock();
 0) ! 186.568 us  |  }
 0)               |  bus_probe_device() {
 0)               |    device_initial_probe() {
 0)               |      __device_attach() {
 0)   1.210 us    |        mutex_lock();
 0)               |        __pm_runtime_resume() {
 0)   1.226 us    |          _raw_spin_lock_irqsave();
 0)   1.354 us    |          rpm_resume();
 0)   1.288 us    |          _raw_spin_unlock_irqrestore();
 0)   8.475 us    |        }
 0)               |        bus_for_each_drv() {
 0)   1.170 us    |          _raw_spin_lock_irqsave();
 0)   1.284 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   5.407 us    |              of_match_device();
 0)   7.948 us    |            }
 0)   1.760 us    |            driver_allows_async_probing();
 0)               |            driver_probe_device() {
 0)   4.043 us    |              pm_runtime_get_suppliers();
 0)   2.475 us    |              __pm_runtime_resume();
 0)   2.952 us    |              pm_runtime_barrier();
 0)   1.956 us    |              ktime_get();
 0) # 4429.879 us |              really_probe();
 0)   2.532 us    |              ktime_get();
 0) + 25.675 us   |              printk();
 0)   4.007 us    |              __pm_runtime_idle();
 0)   1.207 us    |              __pm_runtime_idle();
 0)   3.162 us    |              pm_runtime_put_suppliers();
 0) # 4496.671 us |            }
 0) # 4511.674 us |          }
 0)   1.240 us    |          _raw_spin_lock_irqsave();
 0)   1.218 us    |          _raw_spin_unlock_irqrestore();
 0)   1.243 us    |          _raw_spin_lock();
 0) # 4527.938 us |        }
 0)               |        __pm_runtime_idle() {
 0)   1.206 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.225 us    |            rpm_check_suspend_allowed();
 0)   3.505 us    |          }
 0)   1.181 us    |          _raw_spin_unlock_irqrestore();
 0) + 10.634 us   |        }
 0)               |        __pm_runtime_idle() {
 0)   1.180 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.185 us    |            rpm_check_suspend_allowed();
 0)   3.465 us    |          }
 0)   1.179 us    |          _raw_spin_unlock_irqrestore();
 0) + 10.410 us   |        }
 0)   1.205 us    |        mutex_unlock();
 0) # 4568.748 us |      }
 0) # 4571.226 us |    }
 0)   1.233 us    |    mutex_lock();
 0)   1.255 us    |    mutex_unlock();
 0) # 4579.876 us |  }
 0)               |  bus_probe_device() {
 0)               |    device_initial_probe() {
 0)               |      __device_attach() {
 0)   1.357 us    |        mutex_lock();
 0)               |        __pm_runtime_resume() {
 0)   1.407 us    |          _raw_spin_lock_irqsave();
 0)   1.459 us    |          rpm_resume();
 0)   1.147 us    |          _raw_spin_unlock_irqrestore();
 0)   8.991 us    |        }
 0)               |        bus_for_each_drv() {
 0)   1.172 us    |          _raw_spin_lock_irqsave();
 0)   1.215 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   5.459 us    |              of_match_device();
 0)   8.183 us    |            }
 0) + 10.618 us   |          }
 0)   1.205 us    |          _raw_spin_lock_irqsave();
 0)   1.180 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   6.695 us    |              of_match_device();
 0)   9.170 us    |            }
 0) + 11.680 us   |          }
 0)   1.205 us    |          _raw_spin_lock_irqsave();
 0)   1.260 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   1.160 us    |              of_match_device();
 0)   3.547 us    |            }
 0)   5.895 us    |          }
 0)   1.183 us    |          _raw_spin_lock_irqsave();
 0)   1.180 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   4.925 us    |              of_match_device();
 0)   7.455 us    |            }
 0)   9.915 us    |          }
 0)   1.173 us    |          _raw_spin_lock_irqsave();
 0)   1.178 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   5.055 us    |              of_match_device();
 0)   7.670 us    |            }
 0) + 10.012 us   |          }
 0)   1.190 us    |          _raw_spin_lock_irqsave();
 0)   1.190 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   4.672 us    |              of_match_device();
 0)   7.005 us    |            }
 0)   1.383 us    |            driver_allows_async_probing();
 0)               |            driver_probe_device() {
 0)   2.993 us    |              pm_runtime_get_suppliers();
 0)   2.590 us    |              __pm_runtime_resume();
 0)   3.072 us    |              pm_runtime_barrier();
 0)   1.845 us    |              ktime_get();
 0) # 1012.615 us |              really_probe();
 0)   2.094 us    |              ktime_get();
 0) + 21.610 us   |              printk();
 0)   4.182 us    |              __pm_runtime_idle();
 0)   1.239 us    |              __pm_runtime_idle();
 0)   3.097 us    |              pm_runtime_put_suppliers();
 0) # 1072.940 us |            }
 0) # 1086.955 us |          }
 0)   1.225 us    |          _raw_spin_lock_irqsave();
 0)   1.223 us    |          _raw_spin_unlock_irqrestore();
 0)   1.301 us    |          _raw_spin_lock();
 0) # 1184.365 us |        }
 0)               |        __pm_runtime_idle() {
 0)   1.185 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.195 us    |            rpm_check_suspend_allowed();
 0)   3.448 us    |          }
 0)   1.175 us    |          _raw_spin_unlock_irqrestore();
 0) + 10.375 us   |        }
 0)               |        __pm_runtime_idle() {
 0)   1.177 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.184 us    |            rpm_check_suspend_allowed();
 0)   3.442 us    |          }
 0)   1.177 us    |          _raw_spin_unlock_irqrestore();
 0) + 10.677 us   |        }
 0)   1.195 us    |        mutex_unlock();
 0) # 1226.199 us |      }
 0) # 1228.991 us |    }
 0)   1.241 us    |    mutex_lock();
 0)   1.236 us    |    mutex_unlock();
 0) # 1238.488 us |  }
 0)               |  bus_probe_device() {
 0)               |    device_initial_probe() {
 0)               |      __device_attach() {
 0)   1.356 us    |        mutex_lock();
 0)               |        __pm_runtime_resume() {
 0)   1.221 us    |          _raw_spin_lock_irqsave();
 0)   1.610 us    |          rpm_resume();
 0)   1.169 us    |          _raw_spin_unlock_irqrestore();
 0)   8.740 us    |        }
 0)               |        bus_for_each_drv() {
 0)   1.172 us    |          _raw_spin_lock_irqsave();
 0)   1.205 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   5.518 us    |              of_match_device();
 0)   8.415 us    |            }
 0) + 11.069 us   |          }
 0)   1.317 us    |          _raw_spin_lock_irqsave();
 0)   1.178 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   6.583 us    |              of_match_device();
 0)   9.035 us    |            }
 0) + 11.665 us   |          }
 0)   1.210 us    |          _raw_spin_lock_irqsave();
 0)   1.192 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   1.154 us    |              of_match_device();
 0)   3.695 us    |            }
 0)   6.065 us    |          }
 0)   1.184 us    |          _raw_spin_lock_irqsave();
 0)   1.193 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   5.033 us    |              of_match_device();
 0)   7.580 us    |            }
 0)   9.872 us    |          }
 0)   1.178 us    |          _raw_spin_lock_irqsave();
 0)   1.180 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   5.130 us    |              of_match_device();
 0)   7.515 us    |            }
 0)   9.890 us    |          }
 0)   1.303 us    |          _raw_spin_lock_irqsave();
 0)   1.180 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   5.024 us    |              of_match_device();
 0)   7.703 us    |            }
 0) + 10.122 us   |          }
 0)   1.185 us    |          _raw_spin_lock_irqsave();
 0)   1.188 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   4.931 us    |              of_match_device();
 0)   7.490 us    |            }
 0)   9.932 us    |          }
 0)   1.176 us    |          _raw_spin_lock_irqsave();
 0)   1.180 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   9.190 us    |              of_match_device();
 0) + 11.729 us   |            }
 0) + 14.242 us   |          }
 0)   1.192 us    |          _raw_spin_lock_irqsave();
 0)   1.298 us    |          _raw_spin_unlock_irqrestore();
 0) ! 141.081 us  |        }
 0)               |        __pm_runtime_idle() {
 0)   1.201 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.215 us    |            rpm_check_suspend_allowed();
 0)   3.914 us    |          }
 0)   1.160 us    |          _raw_spin_unlock_irqrestore();
 0) + 11.140 us   |        }
 0)               |        __pm_runtime_idle() {
 0)   1.177 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.248 us    |            rpm_check_suspend_allowed();
 0)   3.515 us    |          }
 0)   1.185 us    |          _raw_spin_unlock_irqrestore();
 0) + 10.440 us   |        }
 0)   1.210 us    |        mutex_unlock();
 0) ! 183.267 us  |      }
 0) ! 185.859 us  |    }
 0)   1.194 us    |    mutex_lock();
 0)   1.169 us    |    mutex_unlock();
 0) ! 195.510 us  |  }
 0)               |  bus_probe_device() {
 0)               |    device_initial_probe() {
 0)               |      __device_attach() {
 0)   1.382 us    |        mutex_lock();
 0)               |        __pm_runtime_resume() {
 0)   1.225 us    |          _raw_spin_lock_irqsave();
 0)   1.510 us    |          rpm_resume();
 0)   1.178 us    |          _raw_spin_unlock_irqrestore();
 0)   8.722 us    |        }
 0)               |        bus_for_each_drv() {
 0)   1.195 us    |          _raw_spin_lock_irqsave();
 0)   1.208 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   5.104 us    |              of_match_device();
 0)   7.705 us    |            }
 0) + 10.245 us   |          }
 0)   1.195 us    |          _raw_spin_lock_irqsave();
 0)   1.178 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   6.366 us    |              of_match_device();
 0)   8.796 us    |            }
 0) + 11.180 us   |          }
 0)   1.217 us    |          _raw_spin_lock_irqsave();
 0)   1.222 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   1.158 us    |              of_match_device();
 0)   3.528 us    |            }
 0)   5.866 us    |          }
 0)   1.188 us    |          _raw_spin_lock_irqsave();
 0)   1.252 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   4.810 us    |              of_match_device();
 0)   7.244 us    |            }
 0)   9.610 us    |          }
 0)   1.202 us    |          _raw_spin_lock_irqsave();
 0)   1.178 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   4.791 us    |              of_match_device();
 0)   7.222 us    |            }
 0)   9.664 us    |          }
 0)   1.197 us    |          _raw_spin_lock_irqsave();
 0)   1.178 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   4.822 us    |              of_match_device();
 0)   7.227 us    |            }
 0)   9.601 us    |          }
 0)   1.183 us    |          _raw_spin_lock_irqsave();
 0)   1.193 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   4.785 us    |              of_match_device();
 0)   7.210 us    |            }
 0)   9.587 us    |          }
 0)   1.196 us    |          _raw_spin_lock_irqsave();
 0)   1.187 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   8.614 us    |              of_match_device();
 0) + 11.110 us   |            }
 0) + 13.573 us   |          }
 0)   1.190 us    |          _raw_spin_lock_irqsave();
 0)   1.185 us    |          _raw_spin_unlock_irqrestore();
 0) ! 135.270 us  |        }
 0)               |        __pm_runtime_idle() {
 0)   1.197 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.320 us    |            rpm_check_suspend_allowed();
 0)   3.809 us    |          }
 0)   1.182 us    |          _raw_spin_unlock_irqrestore();
 0) + 10.783 us   |        }
 0)               |        __pm_runtime_idle() {
 0)   1.208 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.197 us    |            rpm_check_suspend_allowed();
 0)   3.512 us    |          }
 0)   1.185 us    |          _raw_spin_unlock_irqrestore();
 0) + 10.499 us   |        }
 0)   1.188 us    |        mutex_unlock();
 0) ! 176.759 us  |      }
 0) ! 179.258 us  |    }
 0)   1.157 us    |    mutex_lock();
 0)   1.172 us    |    mutex_unlock();
 0) ! 188.210 us  |  }
 0)               |  bus_probe_device() {
 0)               |    device_initial_probe() {
 0)               |      __device_attach() {
 0)   1.271 us    |        mutex_lock();
 0)               |        __pm_runtime_resume() {
 0)   1.195 us    |          _raw_spin_lock_irqsave();
 0)   1.577 us    |          rpm_resume();
 0)   1.179 us    |          _raw_spin_unlock_irqrestore();
 0)   8.742 us    |        }
 0)               |        bus_for_each_drv() {
 0)   1.196 us    |          _raw_spin_lock_irqsave();
 0)   1.252 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   5.703 us    |              of_match_device();
 0)   8.477 us    |            }
 0) + 10.838 us   |          }
 0)   1.188 us    |          _raw_spin_lock_irqsave();
 0)   1.178 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   6.430 us    |              of_match_device();
 0)   8.932 us    |            }
 0) + 11.279 us   |          }
 0)   1.166 us    |          _raw_spin_lock_irqsave();
 0)   1.185 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   1.159 us    |              of_match_device();
 0)   3.626 us    |            }
 0)   5.994 us    |          }
 0)   1.199 us    |          _raw_spin_lock_irqsave();
 0)   1.210 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   4.790 us    |              of_match_device();
 0)   7.458 us    |            }
 0)   9.842 us    |          }
 0)   1.250 us    |          _raw_spin_lock_irqsave();
 0)   1.239 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   4.783 us    |              of_match_device();
 0)   7.350 us    |            }
 0)   9.677 us    |          }
 0)   1.196 us    |          _raw_spin_lock_irqsave();
 0)   1.178 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   5.022 us    |              of_match_device();
 0)   7.434 us    |            }
 0)   9.810 us    |          }
 0)   1.196 us    |          _raw_spin_lock_irqsave();
 0)   1.179 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   4.902 us    |              of_match_device();
 0)   7.408 us    |            }
 0)   9.775 us    |          }
 0)   1.187 us    |          _raw_spin_lock_irqsave();
 0)   1.222 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   8.635 us    |              of_match_device();
 0) + 11.105 us   |            }
 0) + 13.478 us   |          }
 0)   1.194 us    |          _raw_spin_lock_irqsave();
 0)   1.195 us    |          _raw_spin_unlock_irqrestore();
 0) ! 135.597 us  |        }
 0)               |        __pm_runtime_idle() {
 0)   1.191 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.206 us    |            rpm_check_suspend_allowed();
 0)   4.317 us    |          }
 0)   1.170 us    |          _raw_spin_unlock_irqrestore();
 0) + 11.647 us   |        }
 0)               |        __pm_runtime_idle() {
 0)   1.173 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.184 us    |            rpm_check_suspend_allowed();
 0)   3.605 us    |          }
 0)   1.185 us    |          _raw_spin_unlock_irqrestore();
 0) + 10.478 us   |        }
 0)   1.188 us    |        mutex_unlock();
 0) ! 177.834 us  |      }
 0) ! 180.230 us  |    }
 0)   1.157 us    |    mutex_lock();
 0)   1.172 us    |    mutex_unlock();
 0) ! 189.132 us  |  }
 0)               |  bus_probe_device() {
 0)               |    device_initial_probe() {
 0)               |      __device_attach() {
 0)   1.403 us    |        mutex_lock();
 0)               |        __pm_runtime_resume() {
 0)   1.219 us    |          _raw_spin_lock_irqsave();
 0)   1.830 us    |          rpm_resume();
 0)   1.179 us    |          _raw_spin_unlock_irqrestore();
 0)   9.278 us    |        }
 0)               |        bus_for_each_drv() {
 0)   1.170 us    |          _raw_spin_lock_irqsave();
 0)   1.287 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   5.312 us    |              of_match_device();
 0)   7.775 us    |            }
 0) + 10.200 us   |          }
 0)   1.214 us    |          _raw_spin_lock_irqsave();
 0)   1.178 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   6.313 us    |              of_match_device();
 0)   8.727 us    |            }
 0) + 11.072 us   |          }
 0)   1.197 us    |          _raw_spin_lock_irqsave();
 0)   1.185 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   1.158 us    |              of_match_device();
 0)   3.527 us    |            }
 0)   5.865 us    |          }
 0)   1.197 us    |          _raw_spin_lock_irqsave();
 0)   1.215 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   4.798 us    |              of_match_device();
 0)   7.385 us    |            }
 0)   9.913 us    |          }
 0)   1.387 us    |          _raw_spin_lock_irqsave();
 0)   1.218 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   4.790 us    |              of_match_device();
 0)   9.120 us    |            }
 0) + 11.490 us   |          }
 0)   1.192 us    |          _raw_spin_lock_irqsave();
 0)   1.292 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   4.915 us    |              of_match_device();
 0)   7.327 us    |            }
 0)   9.722 us    |          }
 0)   1.232 us    |          _raw_spin_lock_irqsave();
 0)   1.178 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   4.787 us    |              of_match_device();
 0)   7.233 us    |            }
 0)   9.560 us    |          }
 0)   1.196 us    |          _raw_spin_lock_irqsave();
 0)   1.178 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   8.605 us    |              of_match_device();
 0) + 11.035 us   |            }
 0) + 13.612 us   |          }
 0)   1.200 us    |          _raw_spin_lock_irqsave();
 0)   1.195 us    |          _raw_spin_unlock_irqrestore();
 0) ! 135.735 us  |        }
 0)               |        __pm_runtime_idle() {
 0)   1.205 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.208 us    |            rpm_check_suspend_allowed();
 0)   3.815 us    |          }
 0)   1.215 us    |          _raw_spin_unlock_irqrestore();
 0) + 10.883 us   |        }
 0)               |        __pm_runtime_idle() {
 0)   1.160 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.170 us    |            rpm_check_suspend_allowed();
 0)   3.460 us    |          }
 0)   1.173 us    |          _raw_spin_unlock_irqrestore();
 0) + 10.356 us   |        }
 0)   1.308 us    |        mutex_unlock();
 0) ! 178.152 us  |      }
 0) ! 180.600 us  |    }
 0)   1.166 us    |    mutex_lock();
 0)   1.200 us    |    mutex_unlock();
 0) ! 189.130 us  |  }
 0)               |  bus_probe_device() {
 0)               |    device_initial_probe() {
 0)               |      __device_attach() {
 0)   1.228 us    |        mutex_lock();
 0)               |        __pm_runtime_resume() {
 0)   1.438 us    |          _raw_spin_lock_irqsave();
 0)   1.373 us    |          rpm_resume();
 0)   1.200 us    |          _raw_spin_unlock_irqrestore();
 0)   8.555 us    |        }
 0)               |        bus_for_each_drv() {
 0)   1.195 us    |          _raw_spin_lock_irqsave();
 0)   1.218 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   5.389 us    |              of_match_device();
 0)   7.905 us    |            }
 0) + 10.273 us   |          }
 0)   1.197 us    |          _raw_spin_lock_irqsave();
 0)   1.178 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   6.332 us    |              of_match_device();
 0)   8.738 us    |            }
 0) + 11.115 us   |          }
 0)   1.300 us    |          _raw_spin_lock_irqsave();
 0)   1.185 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   1.158 us    |              of_match_device();
 0)   3.527 us    |            }
 0)   5.893 us    |          }
