# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 0)               |  __probe_kernel_read() {
 1)   1.274 us    |              _raw_spin_unlock_irqrestore();
 1)   8.574 us    |            }
 1)               |            of_get_next_parent() {
 1)   1.963 us    |              of_get_parent();
 1)   4.379 us    |            }
 1)               |            of_find_property() {
 1)   1.195 us    |              _raw_spin_lock_irqsave();
 1)   1.600 us    |              __of_find_property();
 1)   1.198 us    |              _raw_spin_unlock_irqrestore();
 1)   8.522 us    |            }
 1)               |            of_get_next_parent() {
 1)   1.964 us    |              of_get_parent();
 1)   4.400 us    |            }
 1) + 61.620 us   |          }
 1)   1.413 us    |          arch_setup_dma_ops();
 1) ! 106.467 us  |        }
 1) ! 108.865 us  |      }
 1)               |      driver_sysfs_add() {
 1)   1.258 us    |        blocking_notifier_call_chain();
 1)               |        sysfs_create_link() {
 1)               |          sysfs_do_create_link_sd() {
 1)   1.205 us    |            _raw_spin_lock();
 1)   1.342 us    |            kernfs_get();
 1)               |            kernfs_create_link() {
 1)   7.944 us    |              kernfs_new_node();
 1)   1.246 us    |              kernfs_get();
 1)   5.972 us    |              kernfs_add_one();
 1) + 20.237 us   |            }
 1)   1.450 us    |            kernfs_put();
 1) + 30.912 us   |          }
 1) + 33.437 us   |        }
 1)               |        sysfs_create_link() {
 1)               |          sysfs_do_create_link_sd() {
 1)   1.287 us    |            _raw_spin_lock();
 1)   1.212 us    |            kernfs_get();
 1)               |            kernfs_create_link() {
 1)   4.256 us    |              kernfs_new_node();
 1)   1.221 us    |              kernfs_get();
 1)   5.931 us    |              kernfs_add_one();
 1) + 16.210 us   |            }
 1)   1.336 us    |            kernfs_put();
 1) + 25.843 us   |          }
 1) + 28.138 us   |        }
 1) + 67.460 us   |      }
 1)               |      platform_drv_probe() {
 1)               |        of_clk_set_defaults() {
 1)               |          of_count_phandle_with_args() {
 1)               |            of_phandle_iterator_init() {
 1)   3.280 us    |              of_find_property();
 1)   6.145 us    |            }
 1)   8.691 us    |          }
 1)               |          of_find_property() {
 1)   1.222 us    |            _raw_spin_lock_irqsave();
 1)   1.654 us    |            __of_find_property();
 1)   1.192 us    |            _raw_spin_unlock_irqrestore();
 1)   8.617 us    |          }
 1)   1.160 us    |          of_prop_next_u32();
 1) + 24.376 us   |        }
 1)   1.162 us    |        dev_pm_domain_attach();
 1)               |        aspeed_pcie_probe() {
 1)               |          devm_pci_alloc_host_bridge() {
 1)               |            devm_kmalloc() {
 1)   2.820 us    |              __kmalloc_track_caller();
 1)   2.708 us    |              devres_add();
 1)   9.240 us    |            }
 1) + 12.725 us   |          }
 1)   1.986 us    |          platform_get_resource();
 1)               |          devm_kasprintf() {
 1)               |            devm_kvasprintf() {
 1)   4.548 us    |              devm_kmalloc();
 1)   9.451 us    |            }
 1) + 12.032 us   |          }
 1)               |          __devm_request_region() {
 1)               |            devres_alloc_node() {
 1)   2.100 us    |              __kmalloc_track_caller();
 1)   4.487 us    |            }
 1)               |            __request_region() {
 1)   2.642 us    |              alloc_resource();
 1)   1.336 us    |              _raw_write_lock();
 1)   1.620 us    |              __request_resource();
 1) + 11.237 us   |            }
 1)               |            devres_add() {
 1)   1.188 us    |              _raw_spin_lock_irqsave();
 1)   1.190 us    |              add_dr();
 1)   1.168 us    |              _raw_spin_unlock_irqrestore();
 1)   8.090 us    |            }
 1) + 28.742 us   |          }
 1)               |          devres_alloc_node() {
 1)               |            __kmalloc_track_caller() {
 1)   1.145 us    |              kmalloc_slab();
 1)   1.160 us    |              should_failslab();
 1)   5.844 us    |            }
 1)   8.338 us    |          }
 1)               |          ioremap() {
 1)               |            __arm_ioremap_caller() {
 1) + 15.515 us   |              __arm_ioremap_pfn_caller();
 1) + 18.683 us   |            }
 1) + 21.258 us   |          }
 1)               |          devres_add() {
 1)   1.191 us    |            _raw_spin_lock_irqsave();
 1)   1.195 us    |            add_dr();
 1)   1.168 us    |            _raw_spin_unlock_irqrestore();
 1)   8.270 us    |          }
 1)               |          irq_of_parse_and_map() {
 1)               |            of_irq_parse_one() {
 1)   2.830 us    |              of_get_property();
 1)   6.095 us    |              of_parse_phandle_with_args();
 1) + 26.250 us   |              of_irq_find_parent.part.0();
 1)   3.467 us    |              of_property_read_variable_u32_array();
 1)   3.537 us    |              of_property_read_u32_index();
 1)   3.263 us    |              of_property_read_u32_index();
 1)   3.245 us    |              of_property_read_u32_index();
 1) + 13.502 us   |              of_irq_parse_raw();
 1) + 74.347 us   |            }
 1)               |            irq_create_of_mapping() {
 1)   9.697 us    |              irq_create_fwspec_mapping();
 1) + 12.887 us   |            }
 1) + 91.013 us   |          }
 1)               |          of_property_read_variable_u32_array() {
 1)               |            of_find_property_value_of_size() {
 1)   2.810 us    |              of_find_property();
 1)   5.253 us    |            }
 1)   7.696 us    |          }
 1)               |          of_property_read_variable_u32_array() {
 1)               |            of_find_property_value_of_size() {
 1)   2.832 us    |              of_find_property();
 1)   5.177 us    |            }
 1)   7.519 us    |          }
 1)               |          __devm_reset_control_get() {
 1)               |            devres_alloc_node() {
 1)   2.105 us    |              __kmalloc_track_caller();
 1)   4.671 us    |            }
 1)               |            __reset_control_get() {
 1) + 16.675 us   |              __of_reset_control_get();
 1) + 19.390 us   |            }
 1)               |            devres_add() {
 1)   1.206 us    |              _raw_spin_lock_irqsave();
 1)   1.295 us    |              add_dr();
 1)   1.191 us    |              _raw_spin_unlock_irqrestore();
 1)   8.165 us    |            }
 1) + 37.703 us   |          }
 1)   1.918 us    |          aspeed_h2x_rc_init();
 1)               |          printk() {
 1)               |            vprintk_func() {
 1) + 22.785 us   |              vprintk_default();
 1) + 25.945 us   |            }
 1) + 28.547 us   |          }
 1)               |          of_get_next_child() {
 1)   1.242 us    |            _raw_spin_lock_irqsave();
 1)   1.170 us    |            _raw_spin_unlock_irqrestore();
 1)   6.302 us    |          }
 1)               |          __irq_domain_add() {
 1)               |            __kmalloc() {
 1)   1.148 us    |              kmalloc_slab();
 1)   1.165 us    |              should_failslab();
 1)   5.973 us    |            }
 1)               |            __kmalloc_track_caller() {
 1)   1.260 us    |              kmalloc_slab();
 1)   1.157 us    |              should_failslab();
 1)   6.620 us    |            }
 1)   1.467 us    |            __mutex_init();
 1)   1.266 us    |            mutex_lock();
 1)   1.237 us    |            mutex_unlock();
 1) + 33.961 us   |          }
 1)               |          __irq_domain_add() {
 1)               |            __kmalloc() {
 1)   1.160 us    |              kmalloc_slab();
 1)   1.152 us    |              should_failslab();
 1)   6.069 us    |            }
 1)               |            __kmalloc_track_caller() {
 1)   1.264 us    |              kmalloc_slab();
 1)   1.225 us    |              should_failslab();
 1)   6.799 us    |            }
 1)   1.490 us    |            __mutex_init();
 1)   1.385 us    |            mutex_lock();
 1)   1.363 us    |            mutex_unlock();
 1) + 27.625 us   |          }
 1)   1.291 us    |          aspeed_h2x_msi_enable();
 1)               |          devm_of_pci_get_host_bridge_resources() {
 1)               |            devm_kmalloc() {
 1)   2.480 us    |              __kmalloc_track_caller();
 1)   2.697 us    |              devres_add();
 1)   8.905 us    |            }
 1)               |            _dev_info() {
 1) + 28.085 us   |              __dev_printk();
 1) + 31.450 us   |            }
 1)               |            of_pci_parse_bus_range() {
 1)   3.900 us    |              of_property_read_variable_u32_array();
 1)   6.673 us    |            }
 1)               |            pci_add_resource() {
 1)   3.435 us    |              pci_add_resource_offset();
 1)   6.145 us    |            }
 1)               |            of_pci_range_parser_init() {
 1)   6.417 us    |              parser_init();
 1)   8.961 us    |            }
 1)   1.430 us    |            dev_driver_string();
 1)               |            dev_printk_emit() {
 1) + 16.489 us   |              dev_vprintk_emit();
 1) + 19.469 us   |            }
 1)               |            of_pci_range_parser_one() {
 1) + 65.670 us   |              __of_translate_address();
 1) + 59.509 us   |              __of_translate_address();
 1) ! 131.159 us  |            }
 1)               |            _dev_info() {
 1) + 23.268 us   |              __dev_printk();
 1) + 26.178 us   |            }
 1)               |            of_pci_range_to_resource() {
 1)   4.730 us    |              pci_register_io_range();
 1)   1.762 us    |              pci_address_to_pio();
 1) + 11.418 us   |            }
 1)               |            devm_kmemdup() {
 1)   4.372 us    |              devm_kmalloc();
 1)   6.960 us    |            }
 1)               |            pci_add_resource_offset() {
 1)   2.552 us    |              resource_list_create_entry();
 1)   4.929 us    |            }
 1)               |            of_pci_range_parser_one() {
 1) + 59.851 us   |              __of_translate_address();
 1) + 62.572 us   |            }
 1)               |            _dev_info() {
 1) + 23.062 us   |              __dev_printk();
 1) + 26.201 us   |            }
 1)   1.302 us    |            of_pci_range_to_resource();
 1)               |            devm_kmemdup() {
 1)   4.192 us    |              devm_kmalloc();
 1)   6.865 us    |            }
 1)               |            pci_add_resource_offset() {
 1)   2.435 us    |              resource_list_create_entry();
 1)   4.845 us    |            }
 1)   1.220 us    |            of_pci_range_parser_one();
 1) ! 394.967 us  |          }
 1)               |          devm_request_pci_bus_resources() {
 1)               |            devm_request_resource() {
 1)   2.556 us    |              devres_alloc_node();
 1)   2.205 us    |              request_resource_conflict();
 1)   2.581 us    |              devres_add();
 1) + 12.326 us   |            }
 1)               |            devm_request_resource() {
 1)   2.618 us    |              devres_alloc_node();
 1)   2.599 us    |              request_resource_conflict();
 1)   2.397 us    |              devres_add();
 1) + 12.345 us   |            }
 1) + 29.214 us   |          }
 1)               |          pci_scan_root_bus_bridge() {
 1)               |            pci_register_host_bridge() {
 1)   3.027 us    |              pci_alloc_bus();
 1)   5.672 us    |              pci_bus_find_domain_nr();
 1)   4.558 us    |              pci_find_bus();
 1)   6.831 us    |              dev_set_name();
 1)   1.380 us    |              pcibios_root_bridge_prepare();
 1) ! 115.715 us  |              device_register();
 1)   1.489 us    |              get_device();
 1)   3.670 us    |              pci_set_bus_of_node();
 1) + 13.795 us   |              pci_set_bus_msi_domain();
 1)   6.530 us    |              dev_set_name();
 1) ! 224.978 us  |              device_register();
 1)   1.378 us    |              pcibios_add_bus();
 1) + 25.612 us   |              _dev_info();
 1)   4.820 us    |              pci_bus_insert_busn_res();
 1) + 25.241 us   |              _dev_info();
 1)   2.327 us    |              pci_bus_add_resource();
 1) + 24.007 us   |              _dev_info();
 1)   2.300 us    |              pci_bus_add_resource();
 1) + 23.482 us   |              _dev_info();
 1)   1.330 us    |              down_write();
 1)   1.332 us    |              up_write();
 1) ! 536.424 us  |            }
 1)               |            pci_scan_child_bus_extend() {
 1)   1.212 us    |              dev_driver_string();
 1) + 16.015 us   |              dev_printk_emit();
 1) ! 795.641 us  |              pci_scan_slot();
 1) # 1051.298 us |              of_find_compatible_node();
 1)   9.777 us    |              pci_scan_slot();
 1) ! 924.767 us  |              of_find_compatible_node();
 1)   7.505 us    |              pci_scan_slot();
 1) ! 876.767 us  |              of_find_compatible_node();
 1)   7.158 us    |              pci_scan_slot();
 1) # 1089.740 us |              of_find_compatible_node();
 1)   9.297 us    |              pci_scan_slot();
 1) ! 901.004 us  |              of_find_compatible_node();
 1)   7.549 us    |              pci_scan_slot();
 1) ! 869.420 us  |              of_find_compatible_node();
 1)   6.642 us    |              pci_scan_slot();
 1) ! 857.120 us  |              of_find_compatible_node();
 1)   6.760 us    |              pci_scan_slot();
 1) ! 854.290 us  |              of_find_compatible_node();
 1) # 1335.948 us |              pci_scan_slot();
 1) ! 950.736 us  |              of_find_compatible_node();
 1)   9.829 us    |              pci_scan_slot();
 1) ! 885.073 us  |              of_find_compatible_node();
 1)   7.845 us    |              pci_scan_slot();
 1) ! 865.707 us  |              of_find_compatible_node();
 1)   7.636 us    |              pci_scan_slot();
 1) ! 858.668 us  |              of_find_compatible_node();
 1)   7.067 us    |              pci_scan_slot();
 1) ! 855.965 us  |              of_find_compatible_node();
 1)   7.046 us    |              pci_scan_slot();
 1) ! 933.352 us  |              of_find_compatible_node();
 1)   8.151 us    |              pci_scan_slot();
 1) ! 895.440 us  |              of_find_compatible_node();
 1)   8.179 us    |              pci_scan_slot();
 1) ! 866.072 us  |              of_find_compatible_node();
 1)   6.792 us    |              pci_scan_slot();
 1) ! 856.315 us  |              of_find_compatible_node();
 1)   7.810 us    |              pci_scan_slot();
 1) ! 852.517 us  |              of_find_compatible_node();
 1)   6.835 us    |              pci_scan_slot();
 1) ! 851.655 us  |              of_find_compatible_node();
 1)   6.390 us    |              pci_scan_slot();
 1) ! 850.305 us  |              of_find_compatible_node();
 1)   7.020 us    |              pci_scan_slot();
 1) ! 849.180 us  |              of_find_compatible_node();
 1)   6.607 us    |              pci_scan_slot();
 1) ! 851.410 us  |              of_find_compatible_node();
 1)   6.680 us    |              pci_scan_slot();
 1) ! 848.735 us  |              of_find_compatible_node();
 1)   6.509 us    |              pci_scan_slot();
 1) ! 849.043 us  |              of_find_compatible_node();
 1)   6.809 us    |              pci_scan_slot();
 1) ! 908.318 us  |              of_find_compatible_node();
 1)   9.242 us    |              pci_scan_slot();
 1) ! 871.465 us  |              of_find_compatible_node();
 1)   7.695 us    |              pci_scan_slot();
 1) ! 857.202 us  |              of_find_compatible_node();
 1)   6.693 us    |              pci_scan_slot();
 1) ! 852.395 us  |              of_find_compatible_node();
 1)   6.613 us    |              pci_scan_slot();
 1) ! 849.768 us  |              of_find_compatible_node();
 1)   6.893 us    |              pci_scan_slot();
 1) ! 849.655 us  |              of_find_compatible_node();
 1)   6.609 us    |              pci_scan_slot();
 1) ! 848.884 us  |              of_find_compatible_node();
 1)   6.573 us    |              pci_scan_slot();
 1) ! 848.688 us  |              of_find_compatible_node();
 1)   1.624 us    |              pci_iov_bus_range();
 1)   2.017 us    |              dev_driver_string();
 1) + 32.186 us   |              dev_printk_emit();
 1) + 60.323 us   |              pcibios_fixup_bus();
 1) + 67.815 us   |              pci_scan_bridge_extend();
 1) * 28513.82 us |              pci_scan_bridge_extend();
 1)   2.528 us    |              dev_driver_string();
 1) + 18.331 us   |              dev_printk_emit();
 1) * 59460.41 us |            }
 1) * 60001.24 us |          }
 1)               |          pci_assign_unassigned_bus_resources() {
 1)   1.207 us    |            down_read();
 1)               |            __pci_bus_size_bridges() {
 1)   2.662 us    |              find_free_bus_resource();
 1)   1.156 us    |              pcibios_window_alignment();
 1)   5.108 us    |              pbus_size_mem();
 1)   2.915 us    |              pbus_size_mem();
 1) + 20.709 us   |            }
 1)   1.197 us    |            up_read();
 1)               |            __pci_bus_assign_resources() {
 1)   1.682 us    |              __dev_sort_resources();
 1)   1.995 us    |              __dev_sort_resources();
 1)   3.839 us    |              __assign_resources_sorted();
 1)   2.765 us    |              __pci_bus_assign_resources();
 1)   1.152 us    |              pcibios_setup_bridge();
 1) + 53.615 us   |              __pci_setup_bridge();
 1) + 76.527 us   |            }
 1) ! 106.373 us  |          }
 1)               |          pcie_bus_configure_settings() {
 1)               |            pci_walk_bus() {
 1)   1.336 us    |              down_read();
 1)   1.214 us    |              up_read();
 1)   6.473 us    |            }
 1)   9.309 us    |          }
 1)               |          pci_bus_add_devices() {
 1)               |            pci_bus_add_device() {
 1)   1.165 us    |              pcibios_bus_add_device();
 1)   6.848 us    |              pci_fixup_device();
 1)   1.470 us    |              pci_create_sysfs_dev_files();
 1) + 27.596 us   |              pci_proc_attach_device();
 1)   2.211 us    |              pci_bridge_d3_update();
 1) + 27.183 us   |              device_attach();
 1) + 77.002 us   |            }
 1)               |            pci_bus_add_device() {
 1)   1.167 us    |              pcibios_bus_add_device();
 1)   4.455 us    |              pci_fixup_device();
 1)   1.405 us    |              pci_create_sysfs_dev_files();
 1) + 11.304 us   |              pci_proc_attach_device();
 1)   1.257 us    |              pci_bridge_d3_update();
 1) # 2272.165 us |              device_attach();
 1) # 2308.035 us |            }
 1)   1.944 us    |            pci_bus_add_devices();
 1) # 2393.410 us |          }
 1)               |          devm_request_threaded_irq() {
 1)               |            devres_alloc_node() {
 1)   2.088 us    |              __kmalloc_track_caller();
 1)   4.846 us    |            }
 1)               |            request_threaded_irq() {
 1)   1.427 us    |              irq_to_desc();
 1)   1.650 us    |              kmem_cache_alloc_trace();
 1)   1.275 us    |              irq_chip_pm_get();
 1) ! 103.922 us  |              __setup_irq();
 1) ! 115.367 us  |            }
 1)               |            devres_add() {
 1)   1.322 us    |              _raw_spin_lock_irqsave();
 1)   1.285 us    |              add_dr();
 1)   1.285 us    |              _raw_spin_unlock_irqrestore();
 1)   8.766 us    |            }
 1) ! 137.720 us  |          }
 1) * 63447.13 us |        }
 1) * 63478.90 us |      }
 1)               |      device_add_groups() {
 1)   1.371 us    |        sysfs_create_groups();
 1)   3.663 us    |      }
 1)   1.270 us    |      pinctrl_init_done();
 1)               |      driver_bound() {
 1)   1.566 us    |        _raw_spin_lock();
 1)               |        device_links_driver_bound() {
 1)   1.170 us    |          mutex_lock();
 1)   1.437 us    |          mutex_unlock();
 1)   6.258 us    |        }
 1)               |        device_pm_check_callbacks() {
 1)   1.513 us    |          _raw_spin_lock_irq();
 1)   1.399 us    |          pm_ops_is_empty();
 1)   6.642 us    |        }
 1)               |        driver_deferred_probe_del() {
 1)   1.185 us    |          mutex_lock();
 1)   1.181 us    |          mutex_unlock();
 1)   6.135 us    |        }
 1)   1.287 us    |        blocking_notifier_call_chain();
 1)   1.180 us    |        dev_uevent_filter();
 1)   1.255 us    |        dev_uevent_name();
 1)               |        kmem_cache_alloc_trace() {
 1)   1.157 us    |          should_failslab();
 1)   5.115 us    |        }
 1)               |        __kmalloc() {
 1)   1.393 us    |          kmalloc_slab();
 1)   1.357 us    |          should_failslab();
 1)   6.755 us    |        }
 1)               |        dev_uevent() {
 1)               |          of_device_uevent() {
 1)               |            of_get_property() {
 1)   3.599 us    |              of_find_property();
 1)   6.592 us    |            }
 1)               |            of_find_property() {
 1)   1.273 us    |              _raw_spin_lock_irqsave();
 1)   1.568 us    |              __of_find_property();
 1)   1.373 us    |              _raw_spin_unlock_irqrestore();
 1)   9.183 us    |            }
 1)   1.388 us    |            of_prop_next_string();
 1)   1.370 us    |            of_prop_next_string();
 1)   1.792 us    |            mutex_lock();
 1)   1.550 us    |            mutex_unlock();
 1) + 45.868 us   |          }
 1)               |          platform_uevent() {
 1)               |            of_device_uevent_modalias() {
 1)   9.752 us    |              of_device_get_modalias();
 1) + 13.178 us   |            }
 1) + 15.883 us   |          }
 1) + 66.930 us   |        }
 1)   1.247 us    |        mutex_lock();
 1)   1.922 us    |        netlink_has_listeners();
 1)   1.323 us    |        consume_skb();
 1)   1.213 us    |        mutex_unlock();
 1)               |        kfree() {
 1)   1.309 us    |          ___cache_free();
 1)   3.710 us    |        }
 1)               |        kfree() {
 1)   1.183 us    |          ___cache_free();
 1)   3.603 us    |        }
 1) ! 143.127 us  |      }
 1)               |      __wake_up() {
 1)               |        __wake_up_common_lock() {
 1)   1.188 us    |          _raw_spin_lock_irqsave();
 1)   1.240 us    |          __wake_up_common();
 1)   1.177 us    |          _raw_spin_unlock_irqrestore();
 1)   8.385 us    |        }
 1) + 10.610 us   |      }
 1) * 63921.64 us |    }
 1)               |    ktime_get() {
 1)   1.186 us    |      arch_counter_read();
 1)   3.685 us    |    }
 1)               |    printk() {
 1)               |      vprintk_func() {
 1)               |        vprintk_default() {
 1)               |          vprintk_emit() {
 1)   1.282 us    |            __printk_safe_enter();
 1)   1.212 us    |            _raw_spin_lock();
 1)               |            vprintk_store() {
 1)   2.726 us    |              log_store.constprop.0();
 1)   7.946 us    |            }
 1)   1.155 us    |            __printk_safe_exit();
 1)               |            console_trylock() {
 1)   3.124 us    |              __down_trylock_console_sem.constprop.0();
 1)   5.572 us    |            }
 1)               |            console_unlock() {
 1)   1.160 us    |              __printk_safe_enter();
 1)   1.219 us    |              _raw_spin_lock();
 1)   3.167 us    |              __up_console_sem.constprop.0();
 1)   1.385 us    |              _raw_spin_lock();
 1)   2.523 us    |              __printk_safe_exit();
 1) + 16.997 us   |            }
 1)   1.540 us    |            wake_up_klogd.part.0();
 1) + 45.279 us   |          }
 1) + 47.573 us   |        }
 1) + 49.902 us   |      }
 1) + 52.438 us   |    }
 1)               |    __pm_runtime_idle() {
 1)   1.227 us    |      _raw_spin_lock_irqsave();
 1)               |      rpm_idle() {
 1)   1.418 us    |        rpm_check_suspend_allowed();
 1)   3.902 us    |      }
 1)   1.198 us    |      _raw_spin_unlock_irqrestore();
 1) + 11.285 us   |    }
 1)               |    __pm_runtime_idle() {
 1)   1.302 us    |      _raw_spin_lock_irqsave();
 1)               |      rpm_idle() {
 1)   1.175 us    |        rpm_check_suspend_allowed();
 1)   3.462 us    |      }
 1)   1.315 us    |      _raw_spin_unlock_irqrestore();
 1) + 10.718 us   |    }
 1)               |    pm_runtime_put_suppliers() {
 1)               |      device_links_read_lock() {
 1)   1.176 us    |        __srcu_read_lock();
 1)   3.506 us    |      }
 1)               |      device_links_read_unlock() {
 1)   1.175 us    |        __srcu_read_unlock();
 1)   3.458 us    |      }
 1) + 10.492 us   |    }
 1) * 64061.70 us |  }
 1)               |  driver_probe_device() {
 1)               |    pm_runtime_get_suppliers() {
 1)               |      device_links_read_lock() {
 1)   1.805 us    |        __srcu_read_lock();
 1)   5.770 us    |      }
 1)               |      device_links_read_unlock() {
 1)   1.186 us    |        __srcu_read_unlock();
 1)   3.595 us    |      }
 1) + 13.462 us   |    }
 1)               |    __pm_runtime_resume() {
 1)   1.327 us    |      _raw_spin_lock_irqsave();
 1)   2.237 us    |      rpm_resume();
 1)   1.182 us    |      _raw_spin_unlock_irqrestore();
 1)   9.850 us    |    }
 1)               |    pm_runtime_barrier() {
 1)   1.325 us    |      _raw_spin_lock_irq();
 1)   1.565 us    |      __pm_runtime_barrier();
 1)   6.949 us    |    }
 1)               |    ktime_get() {
 1)   1.407 us    |      arch_counter_read();
 1)   3.845 us    |    }
 1)               |    really_probe() {
 1)               |      device_links_check_suppliers() {
 1)   1.309 us    |        mutex_lock();
 1)   1.355 us    |        mutex_unlock();
 1)   6.410 us    |      }
 1)               |      pinctrl_bind_pins() {
 1)               |        devm_kmalloc() {
 1)               |          __kmalloc_track_caller() {
 1)   1.363 us    |            kmalloc_slab();
 1)   1.150 us    |            should_failslab();
 1)   6.385 us    |          }
 1)               |          devres_add() {
 1)   1.192 us    |            _raw_spin_lock_irqsave();
 1)   1.217 us    |            add_dr();
 1)   1.182 us    |            _raw_spin_unlock_irqrestore();
 1)   8.323 us    |          }
 1) + 18.321 us   |        }
 1)               |        devm_pinctrl_get() {
 1)               |          devres_alloc_node() {
 1)               |            __kmalloc_track_caller() {
 1)   1.146 us    |              kmalloc_slab();
 1)   1.158 us    |              should_failslab();
 1)   5.864 us    |            }
 1)   8.569 us    |          }
 1)               |          pinctrl_get() {
 1)   1.212 us    |            mutex_lock();
 1)   1.378 us    |            mutex_unlock();
 1)               |            create_pinctrl() {
 1)   1.713 us    |              kmem_cache_alloc_trace();
 1) + 12.550 us   |              pinctrl_dt_to_map();
 1)   1.619 us    |              kfree();
 1) + 21.755 us   |            }
 1) + 29.768 us   |          }
 1)               |          devres_free() {
 1)               |            kfree() {
 1)   1.166 us    |              ___cache_free();
 1)   3.517 us    |            }
 1)   5.840 us    |          }
 1) + 49.380 us   |        }
 1)               |        devm_kfree() {
 1)               |          devres_remove() {
 1)   1.183 us    |            _raw_spin_lock_irqsave();
 1)   1.214 us    |            devm_kmalloc_match();
 1)   1.236 us    |            _raw_spin_unlock_irqrestore();
 1)   8.903 us    |          }
 1)               |          devres_free() {
 1)               |            kfree() {
 1)   1.295 us    |              ___cache_free();
 1)   3.605 us    |            }
 1)   8.035 us    |          }
 1) + 20.732 us   |        }
 1) + 94.476 us   |      }
 1)               |      platform_dma_configure() {
 1)               |        of_dma_configure() {
 1)               |          of_dma_get_range() {
 1)               |            of_n_addr_cells() {
 1)   4.420 us    |              of_property_read_variable_u32_array();
 1)   7.440 us    |            }
 1)               |            of_n_size_cells() {
 1)   3.668 us    |              of_property_read_variable_u32_array();
 1)   6.240 us    |            }
 1)               |            __of_get_dma_parent() {
 1)   3.293 us    |              of_property_match_string();
 1)   2.094 us    |              of_get_parent();
 1)   9.380 us    |            }
 1)               |            of_get_property() {
 1)   2.989 us    |              of_find_property();
 1)   5.342 us    |            }
 1) + 35.397 us   |          }
 1)               |          of_dma_is_coherent() {
 1)               |            of_find_property() {
 1)   1.207 us    |              _raw_spin_lock_irqsave();
 1)   1.497 us    |              __of_find_property();
 1)   1.182 us    |              _raw_spin_unlock_irqrestore();
 1)   8.598 us    |            }
 1)               |            of_get_next_parent() {
 1)   1.965 us    |              of_get_parent();
 1)   4.562 us    |            }
 1)               |            of_find_property() {
 1)   1.178 us    |              _raw_spin_lock_irqsave();
 1)   1.338 us    |              __of_find_property();
 1)   1.203 us    |              _raw_spin_unlock_irqrestore();
 1)   8.188 us    |            }
 1)               |            of_get_next_parent() {
 1)   1.963 us    |              of_get_parent();
 1)   4.362 us    |            }
 1)               |            of_find_property() {
 1)   1.195 us    |              _raw_spin_lock_irqsave();
 1)   1.840 us    |              __of_find_property();
 1)   1.192 us    |              _raw_spin_unlock_irqrestore();
 1)   8.757 us    |            }
 1)               |            of_get_next_parent() {
 1)   1.963 us    |              of_get_parent();
 1)   4.441 us    |            }
 1)               |            of_find_property() {
 1)   1.195 us    |              _raw_spin_lock_irqsave();
 1)   1.593 us    |              __of_find_property();
 1)   1.212 us    |              _raw_spin_unlock_irqrestore();
 1)   8.542 us    |            }
 1)               |            of_get_next_parent() {
 1)   1.969 us    |              of_get_parent();
 1)   4.251 us    |            }
 1)               |            of_find_property() {
 1)   1.232 us    |              _raw_spin_lock_irqsave();
 1)   1.607 us    |              __of_find_property();
 1)   1.192 us    |              _raw_spin_unlock_irqrestore();
 1)   8.650 us    |            }
 1)               |            of_get_next_parent() {
 1)   1.964 us    |              of_get_parent();
 1)   4.256 us    |            }
 1) + 77.138 us   |          }
 1)   1.632 us    |          arch_setup_dma_ops();
 1) ! 120.520 us  |        }
 1) ! 122.857 us  |      }
 1)               |      driver_sysfs_add() {
 1)   1.159 us    |        blocking_notifier_call_chain();
 1)               |        sysfs_create_link() {
 1)               |          sysfs_do_create_link_sd() {
 1)   1.511 us    |            _raw_spin_lock();
 1)   1.395 us    |            kernfs_get();
 1)               |            kernfs_create_link() {
 1)   9.758 us    |              kernfs_new_node();
 1)   1.256 us    |              kernfs_get();
 1)   6.715 us    |              kernfs_add_one();
 1) + 22.828 us   |            }
 1)   1.352 us    |            kernfs_put();
 1) + 34.004 us   |          }
 1) + 36.477 us   |        }
 1)               |        sysfs_create_link() {
 1)               |          sysfs_do_create_link_sd() {
 1)   1.185 us    |            _raw_spin_lock();
 1)   1.195 us    |            kernfs_get();
 1)               |            kernfs_create_link() {
 1)   4.375 us    |              kernfs_new_node();
 1)   1.271 us    |              kernfs_get();
 1)   6.320 us    |              kernfs_add_one();
 1) + 16.775 us   |            }
 1)   1.340 us    |            kernfs_put();
 1) + 26.254 us   |          }
 1) + 28.541 us   |        }
 1) + 71.230 us   |      }
 1)               |      platform_drv_probe() {
 1)               |        of_clk_set_defaults() {
 1)               |          of_count_phandle_with_args() {
 1)               |            of_phandle_iterator_init() {
 1)   4.064 us    |              of_find_property();
 1)   7.696 us    |            }
 1) + 10.356 us   |          }
 1)               |          of_find_property() {
 1)   1.220 us    |            _raw_spin_lock_irqsave();
 1)   1.475 us    |            __of_find_property();
 1)   1.192 us    |            _raw_spin_unlock_irqrestore();
 1)   8.648 us    |          }
 1)   1.286 us    |          of_prop_next_u32();
 1) + 26.060 us   |        }
 1)   1.132 us    |        dev_pm_domain_attach();
 1)               |        aspeed_kcs_probe() {
 1)               |          of_property_read_variable_u32_array() {
 1)               |            of_find_property_value_of_size() {
 1)   2.620 us    |              of_find_property();
 1)   4.929 us    |            }
 1)   7.420 us    |          }
 1)               |          of_property_read_variable_u32_array() {
 1)               |            of_find_property_value_of_size() {
 1)   2.730 us    |              of_find_property();
